Cycle |   PC   |        Instruction       | Fwd1  Fwd2  Fwd3 |            ALU Result            |          WriteBack Data          | WE
-------------------------------------------------------------------------------------------------------------------------------------------------
    0 |     00 | 0000000000000000000000000 | 0     0      1    | 00000000000000000000000000000000 | 00000000000000000000000000000000 |  0 
    1 |     01 | 0000000000000000000100001 | 0     0      1    | 00000000000000000000000000000000 | 00000000000000000000000000000000 |  0 
    2 |     02 | 0001000000000000001000001 | 0     0      1    | 00000000000000000000000000000001 | 00000000000000000000000000000000 |  1 
    3 |     03 | 0000000000000000001100011 | 0     1      0    | 00000000000000000000000000020001 | 00000000000000000000000000000001 |  1 
    4 |     04 | 0000000000000000010000100 | 0     0      0    | 00000000000000000000000000000003 | 00000000000000000000000000020001 |  1 
    5 |     05 | 0000000000000000010100101 | 0     0      0    | 00000000000000000000000000000004 | 00000000000000000000000000000003 |  1 
    6 |     06 | 0000000000000000011000110 | 0     0      0    | 00000000000000000000000000000005 | 00000000000000000000000000000004 |  1 
    7 |     07 | 0000000000000000011100111 | 0     0      0    | 00000000000000000000000000000006 | 00000000000000000000000000000005 |  1 
    8 |     08 | 0000000000000000100001000 | 0     0      0    | 00000000000000000000000000000007 | 00000000000000000000000000000006 |  1 
    9 |     09 | 1000000011000100000101001 | 0     0      0    | 00000000000000000000000000000008 | 00000000000000000000000000000007 |  1 
   10 |     0A | 1000100011000100000101010 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000000008 |  1 
   11 |     0B | 1001000011000100000101011 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   12 |     0C | 1001100011000100000101100 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   13 |     0D | 1010000011000100000101101 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   14 |     0E | 1010100011000100000101110 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   15 |     0F | 1011000011000100000101111 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   16 |     10 | 1011100011000100000110000 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   17 |     11 | 1100000001001010000110001 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   18 |     12 | 1100000010000100000110010 | 0     0      0    | 00000000000000000000000000000000 | 00000000000000000000000000020001 |  1 
   19 |     13 | 1100000011000000000110011 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000000000 |  1 
   20 |     14 | 1100000100000100000110100 | 0     0      0    | 00000000000000000000000000010001 | 00000000000000000000000000020001 |  1 
   21 |     15 | 1100000101000100000110101 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000010001 |  1 
   22 |     16 | 1100000110000000000110110 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000020001 |  1 
   23 |     17 | 1100000111000100000110111 | 0     0      0    | 00000000000000000000000000000000 | 00000000000000000000000000020001 |  1 
   24 |     18 | 1100001000000100000111000 | 0     0      0    | 00000000000000000000000000020001 | 00000000000000000000000000000000 |  1 
   25 |     19 | 1100001001000100000111001 | 0     0      0    | 00000000000000000000000000000000 | 00000000000000000000000000020001 |  1 
   26 |     1A | 1100001010011000000111010 | 0     0      0    | 00000000000000000000000000000000 | 00000000000000000000000000000000 |  1 
   27 |     1B | 1100001011000100000111011 | 0     0      0    | 0000000000000000000000000000000C | 00000000000000000000000000000000 |  1 
